3679	87
196	60
12490	12
18618	14
2370	65
12	99
18524	34
12024	5
6992	76
18410	22
9267	68
7	590
18995	22
6265	58
92886	3141
6835	94
14151	82
11485	39
19967	45
13520	38
5529	11
3433	5
17911	96
18181	60
11549	88
14896	81
41	1
184	14
4329	64
18871	69
15141	87
92835	1348
11584	32
14088	92
18061	3
206	31
13066	8
19625	54
12705	14
9351	8
17753	70
15917	51
768	85
15814	60
15320	82
8303	90
7282	73
14092	48
10629	19
77001	23
15006	53
12328	63
31415   26
405	45
99	100
755	3
17	25
88877	5446
19623	88
10	4
